year,region,post_rural_vitalization,agri_loan_balance,agri_loan_growth_rate,grain_yield_per_ha,per_capita_agri_output,agri_machinery_power_per_1000ha,forest_cover_rate,fertilizer_use_intensity,sanitary_toilet_rate,cultural_spending_share,township_culture_stations_per_10k,avg_education_years_rural,urban_rural_governance_index,village_governance_participation_rate,rural_disposable_income_per_capita,rural_engel_coefficient,cars_per_100_households,industry_score,ecology_score,culture_score,governance_score,affluence_score,rural_vitalization_index
2020,海南,1,978.11,0.03097858166793155,5.381,3.211,233.09,20.74,0.651,78.68,10.573,1.652,9.336,82.32,48.19,14972.87,32.31,24.97,43.634459731863714,14.686379317025239,71.78500386404417,46.45408554975487,57.49879228034436,37.099152298862364
2021,海南,1,1008.17,0.030732739671406994,5.606,3.149,252.92,23.47,0.627,82.23,10.955,1.505,9.315,81.83,46.59,15474.35,30.6,23.87,47.223413183644844,22.305528176187508,69.91060849755691,44.06732016644433,62.334172840676935,41.26133846392451
2022,海南,1,1080.59,0.07183312338196934,5.598,3.36,247.43,23.21,0.631,85.77,10.451,1.603,9.313,84.18,47.85,15836.98,30.6,25.4,49.80554890808366,24.85131648499617,69.32010386061921,48.22371715294705,65.6261244369955,45.306640646240844
2023,海南,1,1104.67,0.022284122562674202,5.578,3.43,272.85,20.01,0.599,86.71,11.216,1.536,9.469,85.33,50.38,15948.31,29.09,25.56,53.36063518928421,24.65639870632037,75.16781334837643,52.43270832492358,70.10160321341388,50.78921049615409
2013,湖北,0,680.19,0.0,5.144,2.859,137.98,47.3,0.378,73.73,9.651,2.237,7.406,44.5,64.14,11576.6,32.36,15.14,25.55949289610847,57.06891746193248,46.025613275243614,20.743758606665573,32.2573880665376,21.11841105145068
2014,湖北,0,711.97,0.04672223937429254,4.961,2.913,141.42,51.43,0.393,73.14,9.759,2.254,7.634,46.24,62.36,11963.61,32.51,16.4,24.76920082014765,59.734456585805596,51.32340403575153,20.737405471456878,34.9135621822108,23.74612741518457
2015,湖北,0,697.98,-0.01964970434147506,4.992,2.998,140.51,45.61,0.355,79.72,9.719,2.168,7.63,48.62,62.41,12417.73,31.31,15.43,26.31887678945668,62.20611833179003,48.74435170501659,23.553144318112615,38.434957132538635,26.535531158522158
2016,湖北,0,791.15,0.13348520014900145,5.49,3.015,182.3,46.93,0.366,79.49,10.023,2.327,7.614,49.79,64.65,12834.14,30.77,14.76,36.415936687796986,62.580866071164365,54.510539688506285,27.45567002167593,40.51097212269018,33.91115169006827
2017,湖北,0,788.89,-0.002856601150224347,5.358,3.18,180.68,51.19,0.335,83.56,10.046,2.43,7.693,49.14,66.44,13231.22,29.84,18.08,37.35324634174949,72.7259294945071,58.80592248582784,28.736921460294518,48.58195483494308,41.47392823435521
2018,湖北,1,887.81,0.12539137268820744,5.596,3.208,149.04,49.37,0.344,85.25,10.279,2.371,7.706,51.68,68.39,13754.53,30.02,15.73,37.01562441417426,71.6933421825539,58.94089055431901,33.89790550815846,47.08064656352548,42.20400733127281
2019,湖北,1,863.44,-0.027449566911839085,5.686,3.429,144.02,50.14,0.36,87.77,10.226,2.678,7.751,48.54,67.79,14123.9,28.63,14.45,40.86558971006955,73.55334089765037,67.49641542146183,29.57597514027968,50.378632029024175,46.02335695718515
2020,湖北,1,937.1,0.08530992309830432,5.395,3.517,171.99,53.88,0.325,88.39,10.143,2.611,7.823,50.72,71.49,14371.64,28.41,15.92,42.02604556081444,80.42915862372026,66.54325293541051,36.308910545803705,53.72950174400244,51.624994233919686
2021,湖北,1,985.58,0.051734073204567244,5.884,3.564,195.54,53.04,0.329,90.06,10.634,2.48,7.937,53.76,70.33,14905.63,27.71,16.07,50.55468946044045,80.74223677329704,68.24095394257263,38.51428903187896,57.69334967036433,57.45489192191129
2022,湖北,1,1011.41,0.026207918180157774,5.828,3.692,180.28,51.84,0.345,94.6,11.102,2.569,7.948,54.4,73.89,15335.95,27.34,18.53,50.301634176396135,82.34359851855368,73.68209709584116,43.30291093813425,63.36409881769545,62.464545564346544
2023,湖北,1,1036.4,0.024708080798093945,5.952,3.795,194.81,55.9,0.326,98.02,10.804,2.607,7.974,52.67,76.19,15436.45,26.05,16.66,54.774484625384815,90.86159676078442,73.30792852512212,43.91195180140217,64.65756723751697,67.44433904846136
2013,湖南,0,585.95,0.0,5.626,1.181,295.05,49.44,0.543,57.76,11.618,1.768,8.784,49.62,40.67,16497.0,36.49,13.3,21.585130728270048,33.57273404624293,71.18856376620074,0.0,37.65276814171159,13.22329991965701
2014,湖南,0,640.3,0.092755354552436,5.462,1.131,302.47,47.15,0.559,58.87,10.907,1.592,8.878,49.82,42.36,16846.23,35.42,15.95,19.820604757606937,31.051909735816828,63.881965538683396,2.1529015892514334,45.05225084607148,13.016254828964879
2015,湖南,0,653.38,0.02042792441043262,5.638,1.198,340.26,50.01,0.548,61.48,11.046,1.661,8.986,49.79,42.74,17173.69,35.84,15.88,26.768242701353994,37.05859246052397,68.53625890160569,2.550080054390658,45.10710560533181,18.91503548626422
2016,湖南,0,656.1,0.004162967951268914,5.78,1.278,323.22,49.33,0.537,64.01,11.752,1.687,8.988,51.28,42.3,17863.42,34.3,14.0,27.736680027461976,39.35450117940778,73.63489663424033,3.7771343626520086,49.216547482534104,22.92488347454782
2017,湖南,0,722.72,0.10153939948178636,5.909,1.343,344.91,50.99,0.533,66.12,11.22,1.658,9.014,51.79,43.62,18483.73,34.7,16.3,32.43711587784971,43.19216318354599,70.0503862243437,5.868801502545796,53.42254578601422,27.142255648912148
2018,湖南,1,752.25,0.0408595306619437,6.019,1.18,358.76,51.65,0.502,66.74,11.688,1.866,9.057,52.43,45.26,19403.4,32.93,19.75,32.58778913726305,46.61608679029604,79.20225770860357,8.474916209477138,65.74732610204325,35.18512514055312
2019,湖南,1,764.62,0.016444001329345204,6.387,1.288,363.84,52.18,0.527,71.74,11.929,1.755,9.087,52.46,47.65,19784.91,32.77,18.48,38.785291868531715,49.75970577175774,78.33359709618037,11.22645906836257,65.96020057617775,39.36480441361505
2020,湖南,1,809.05,0.0581072951269912,6.163,1.448,368.3,55.0,0.536,71.78,11.877,1.875,9.178,54.11,46.57,20455.45,31.71,20.96,39.291050704567226,52.05550446493442,82.83008836743232,11.911483428726473,74.31225279194723,44.22003079408593
2021,湖南,1,848.78,0.04910697731907798,6.16,1.433,382.17,52.93,0.53,73.94,11.872,1.881,9.221,54.14,48.96,20223.36,30.44,18.57,40.497192629668305,52.2428365799935,83.74520940747871,14.663026287611908,73.65775955611906,45.637714725749255
2022,湖南,1,872.9,0.028417257711067734,6.397,1.64,414.44,53.26,0.507,76.07,12.397,1.948,9.291,58.87,47.9,21529.27,29.99,25.37,49.67904101087235,56.080148185892455,90.0444937573202,18.941129796604862,88.30208355024645,57.97138560120093
2023,湖南,1,909.83,0.04230725168976979,6.636,1.476,399.58,57.07,0.506,79.39,12.366,1.947,9.272,57.33,49.1,21871.23,29.28,22.65,48.17241506212288,62.974573094215444,89.47747927630773,18.520024446864284,87.93077056839796,59.17224573609201
2013,甘肃,0,478.34,0.0,6.979,1.778,283.11,28.04,0.673,73.58,6.465,1.049,8.42,48.14,60.65,17514.77,37.1,10.57,44.206656037301094,16.16866201504816,13.673477874251585,20.99609536310074,36.40748710794794,9.262285919423633
2014,甘肃,0,502.33,0.050152611113434054,6.434,1.885,284.79,25.9,0.63,74.89,6.386,1.052,8.445,47.12,62.13,18149.58,35.83,11.13,40.1162662479943,18.16924615191663,13.72068693420228,21.49605778186246,42.72352017186873,10.445904878050426
2015,甘肃,0,508.68,0.012641092508908436,6.669,1.958,292.68,24.53,0.686,79.26,6.297,0.869,8.431,49.47,62.96,18834.41,35.15,11.63,44.62837506657183,16.604891663952863,8.107953780680527,25.163664093516587,47.64162036191426,13.121453542646371
2016,甘肃,0,582.23,0.1445899190060549,7.035,2.003,314.44,28.76,0.665,80.52,6.752,1.066,8.452,51.57,64.4,19315.5,35.23,11.53,51.601142273147595,23.549895142871826,16.486939482714412,29.234870423897803,49.098097789535025,21.818280314900598
2017,甘肃,0,580.3,-0.0033148412139533123,7.159,2.049,322.66,28.92,0.621,81.95,6.172,1.155,8.643,51.28,64.29,20111.11,33.71,11.22,54.52715031922283,28.092005337852054,18.72841285536146,28.773662129909116,55.54500526352657,26.840961493868562
2018,甘肃,1,603.3,0.03963467172152346,7.2,2.175,347.46,25.14,0.602,87.01,7.348,1.164,8.663,50.73,65.86,20646.41,33.57,11.17,59.541557756352105,29.981770722412904,26.62640272558821,29.920754901028424,57.828642554513934,32.384565768442584
2019,甘肃,1,623.98,0.03427813691364179,7.399,2.103,377.63,29.09,0.618,87.52,7.236,1.027,8.635,54.54,66.09,21287.38,32.16,11.52,63.789905465082875,33.353602234465406,21.8217670820248,34.598763836273264,64.25844574262156,37.50860232084949
2020,甘肃,1,638.41,0.02312574120965416,7.565,2.213,347.24,29.47,0.615,91.25,7.189,1.114,8.66,54.62,67.54,21929.53,31.78,10.48,64.06639379301957,37.22122775359587,24.272540465870122,36.33974768670131,66.29441077474266,40.61984146609301
2021,甘肃,1,691.61,0.08333202800708017,7.601,2.399,358.34,26.21,0.617,92.58,7.106,1.174,8.783,57.22,68.78,22340.21,30.87,11.76,68.4991120219435,34.890029577190205,27.588577778007643,40.763210929269185,71.77251638341063,45.557643941126756
2022,甘肃,1,703.42,0.017076097800783563,7.823,2.467,351.7,29.64,0.601,97.92,7.285,1.177,8.803,56.44,71.52,23079.66,29.9,11.11,71.25330135037696,44.22688065748399,29.14450313514447,42.973652375403034,76.1732742684666,52.065406876267154
2023,甘肃,1,749.62,0.06567911063091758,8.109,2.618,371.48,30.09,0.584,99.97,7.499,1.129,8.792,57.09,71.48,24362.67,29.96,10.98,78.78079617034315,47.691290892906004,29.010202301268734,43.68166531116827,80.62306880763474,57.74160672352423
2013,福建,0,393.74,0.0,6.824,1.538,298.26,50.86,0.804,60.99,9.048,1.694,8.202,44.65,67.26,17082.62,36.31,10.05,40.43176077410507,19.314412893613707,42.62981490231925,24.464213229201867,36.15924964450606,16.658486255694136
2014,福建,0,425.03,0.07946868491898207,7.014,1.671,330.98,56.89,0.807,64.06,9.738,1.803,8.254,47.56,70.43,17252.58,36.31,12.79,48.01095052535055,27.989080142306722,50.72502848534726,31.44090377160226,40.27274309377111,27.836311579589232
2015,福建,0,444.58,0.045996753170364446,7.19,1.434,330.61,57.76,0.758,68.36,9.327,1.794,8.21,48.91,72.91,18015.9,35.38,11.67,46.231189110687474,36.12784035937547,47.13229638663593,35.82489938344289,44.06275501723837,31.443047494351422
2016,福建,0,487.56,0.09667551396823981,6.86,1.708,329.11,58.39,0.768,66.26,9.635,1.713,8.36,50.05,72.69,18473.42,34.66,7.96,46.71089048831505,34.227799759612786,49.66760518700539,36.8963116531454,42.88843686665302,31.600745790662543
2017,福建,0,514.67,0.0556034129132823,7.361,1.782,340.81,56.87,0.737,69.85,9.795,1.639,8.53,50.93,69.33,19377.24,33.81,10.69,54.53004087701979,38.0083321394987,51.835405903752694,34.097022539653096,51.88856086636399,38.36917235239435
2018,福建,1,519.65,0.009676103134047098,7.428,1.748,351.87,57.35,0.749,71.23,10.045,1.875,8.486,51.99,72.66,19965.19,33.09,12.93,55.9056534326978,38.85681952250248,58.774402318968974,39.11106345716702,58.759909735537974,44.59200217580536
2019,福建,1,544.88,0.0485519099393823,7.826,1.918,332.39,58.4,0.743,76.61,10.236,1.849,8.542,52.18,78.73,20234.52,31.89,12.02,60.781426764855425,45.07038318190814,60.30374437246356,46.23121756663389,61.67077747639013,52.026836723975656
2020,福建,1,573.91,0.05327778593451771,7.798,2.005,357.83,58.81,0.715,79.57,10.059,1.906,8.481,52.59,78.21,20854.12,31.47,10.72,64.51368881277037,50.07146591214807,59.58331846382032,46.11539502475231,63.39475146289358,55.424872426099
2021,福建,1,584.74,0.018870554616577495,7.972,2.138,386.58,58.63,0.732,79.79,10.351,1.98,8.693,54.25,77.7,21391.87,30.54,11.91,71.49846858472701,48.87092985106343,67.22534048702998,47.459943238157834,69.28185032346767,61.91233471053376
2022,福建,1,621.75,0.06329308752607998,8.074,2.027,392.92,61.3,0.738,82.64,10.973,1.897,8.599,55.07,78.42,21913.09,30.24,15.41,71.5675873389778,53.68429128862703,67.18091268798486,49.22892975377497,76.43313618217904,66.27666115733005
2023,福建,1,635.09,0.021455568958584692,8.161,2.102,417.47,64.7,0.724,84.35,11.326,1.924,8.777,55.23,81.14,22775.4,29.12,14.63,76.2691809754341,59.67203114409637,73.34397305836127,52.50628740469442,81.50859142134728,74.13997009003899
2013,西藏,0,563.58,0.0,6.038,0.782,367.11,23.09,0.578,67.81,7.036,1.272,9.427,63.68,59.0,16722.1,40.61,16.37,27.54714121477778,12.779216074948277,41.53807492847252,37.13451512725477,31.86297430149342,11.88293576946604
2014,西藏,0,576.5,0.022924873132474488,6.445,1.251,399.04,22.77,0.542,69.33,7.182,1.185,9.393,66.4,58.28,16999.85,40.13,18.33,42.57509963156359,16.337982966562187,39.53635273370474,39.4691066094207,36.612401090546314,20.723340401431823
2015,西藏,0,598.73,0.03856027753686031,6.038,1.157,399.97,26.15,0.543,72.56,6.981,1.267,9.501,71.36,63.52,17845.41,39.36,19.47,36.8067574822295,22.569312594840152,42.42282819116777,51.175178515768835,43.17110098694108,26.880607458067686
2016,西藏,0,649.66,0.08506338416314518,6.618,1.301,424.38,28.42,0.537,78.17,7.439,1.379,9.529,67.88,62.61,18284.27,38.28,16.53,47.9089259650438,30.23885073695099,48.717491771796624,46.10673521276014,43.825789414096434,33.798873364347685
2017,西藏,0,671.25,0.03323276790936802,6.4,1.176,437.17,27.06,0.553,79.76,7.842,1.401,9.622,71.47,61.47,18547.19,38.03,17.61,44.97171213836749,29.094488387918705,53.50053237307048,48.97240970215623,46.81414259342267,35.26310071206383
2018,西藏,1,692.14,0.031121042830539958,6.595,1.142,475.72,28.79,0.541,79.85,7.622,1.496,9.6,74.41,62.73,19265.91,36.31,18.1,50.650110977010975,31.805124713644016,54.22616987087346,53.8127363549561,54.50292992626245,42.506627784278656
2019,西藏,1,726.43,0.04954200017337529,6.671,1.39,482.86,26.37,0.541,80.57,7.866,1.513,9.635,74.44,63.27,20238.7,35.97,20.71,56.05265698847847,29.9462128004625,56.82791605435485,54.46134258949296,62.30372274136984,47.34841206833571
2020,西藏,1,758.7,0.04442272483239962,6.712,1.336,496.93,23.86,0.534,85.46,7.877,1.564,9.748,75.15,66.63,20613.99,35.42,20.82,57.15683608344266,32.14074760536994,60.3073916804964,59.10376419351494,65.2436475927854,51.70640744806689
2021,西藏,1,821.91,0.08331356267299328,7.056,1.332,512.69,27.88,0.506,88.32,7.94,1.564,9.805,76.23,65.97,21131.93,34.07,20.7,62.500015660377336,40.767102018923715,61.743587791275175,59.60546639391844,70.46564647647263,58.704347007983564
2022,西藏,1,805.96,-0.01940601769050132,7.025,1.386,520.04,27.43,0.501,89.34,8.113,1.575,9.856,76.36,66.83,21803.26,33.58,20.27,63.774289464187895,41.552029980097615,64.0408490574801,60.73374411076584,73.66628814747517,61.372835547481685
2023,西藏,1,832.6,0.03305374956573526,7.191,1.41,537.13,27.81,0.521,87.65,7.705,1.587,9.839,79.47,69.56,21912.45,32.93,22.77,67.75729462105797,39.043078354672126,61.513179974946716,67.44211731816765,78.90985303187409,65.33806790964043
2013,贵州,0,724.35,0.0,4.754,2.679,312.5,42.8,0.616,70.28,7.381,2.067,7.373,48.97,72.23,12240.37,32.55,29.2,37.04615731193152,32.51147503138014,26.876561636751045,35.12148025313628,52.10544841691426,24.1779294581251
2014,贵州,0,719.87,-0.00618485538758895,4.769,2.859,356.94,42.8,0.626,72.44,8.318,1.987,7.487,49.67,72.27,12636.05,32.02,31.21,44.69149821329519,33.690883059033496,32.67966444245984,35.978391130084944,57.48446074753224,30.928368640785752
2015,贵州,0,785.74,0.09150263241974255,4.716,2.855,355.74,45.35,0.58,75.05,8.359,2.162,7.528,52.48,74.62,13040.8,30.88,29.07,43.92730159667171,41.86560568303897,38.27982725106535,41.90704894035081,59.18228821911008,36.95760409214251
2016,贵州,0,792.41,0.008488813093389558,5.037,2.94,395.27,46.68,0.609,75.62,8.471,2.207,7.542,53.06,75.7,13406.08,29.95,34.06,52.910869239751165,41.671657090755886,40.412629969729394,43.80704687802538,69.25722798321476,44.748170818229
2017,贵州,0,842.93,0.06375487437059091,5.113,2.941,404.93,45.68,0.575,78.0,8.559,2.1,7.658,52.67,78.26,13908.96,30.09,33.21,54.77506048769818,45.14143573122161,40.277152204389225,46.26496737567331,69.6883162777157,47.46660708055139
2018,贵州,1,908.03,0.07723061226910888,5.095,3.101,416.56,45.42,0.589,81.35,8.477,2.257,7.596,55.97,79.34,14140.45,29.75,35.05,58.27711162512665,46.81044640353528,42.75276199246341,51.31799699526027,73.75559596993267,52.85560140368888
2019,贵州,1,924.09,0.017686640309241053,5.191,3.177,431.59,44.85,0.605,83.73,8.753,2.254,7.692,55.41,81.2,14433.31,28.69,37.64,62.08298415166611,47.16980202976375,46.14675220839727,52.78314726303515,80.84378269066707,57.98879427362888
2020,贵州,1,962.22,0.04126221471934555,5.237,3.342,461.18,44.91,0.6,88.92,8.51,2.407,7.732,56.73,82.14,15053.47,28.11,34.84,68.26012600211162,52.127884433527726,49.389358109003716,55.381814140691056,81.07255990074765,63.66754167847449
2021,贵州,1,998.06,0.03724719918521746,5.25,3.332,468.56,46.27,0.585,90.47,9.127,2.397,7.859,58.55,83.53,15250.66,26.88,37.24,69.02926005274482,55.948607535099704,55.28342282857267,59.07160755530477,87.99813753212493,69.94115413993372
2022,贵州,1,1044.61,0.046640482536119965,5.414,3.364,439.79,50.33,0.548,95.19,8.772,2.425,7.856,57.69,80.93,15747.21,26.48,41.12,68.25400165742819,66.88302929589547,53.76129774737799,55.11921462738031,95.79614322104167,73.95177385658624
2023,贵州,1,1089.38,0.04285810015221014,5.833,3.7,472.61,47.66,0.546,95.15,8.934,2.431,7.953,58.54,85.26,16466.41,25.8,36.04,81.45749276356278,64.24412779383263,56.70272366444708,61.02654545145331,93.75123051192007,80.26207239877938
2013,辽宁,0,537.29,0.0,7.156,1.788,134.88,54.45,0.382,79.32,11.146,2.01,7.685,45.72,56.52,12971.23,35.8,9.04,30.57437010003829,69.02934643108759,54.4573721667307,13.496160604912305,20.89899135619589,23.0009480585709
2014,辽宁,0,571.28,0.06326192558953259,7.213,1.729,139.53,58.3,0.377,81.05,11.107,2.21,7.785,47.26,57.88,13187.99,34.56,10.8,30.77698330449167,74.85791671809972,61.29962713992215,16.82727555375148,27.109577334193226,29.571230988926505
2015,辽宁,0,574.29,0.005268869906175588,7.162,1.832,133.97,57.56,0.383,82.06,11.371,2.216,7.844,45.15,59.15,13722.59,33.8,9.82,31.220962421939447,74.5542531540427,64.17684539529932,15.824995169173725,29.793066108831173,30.86609978249112
2016,辽宁,0,608.62,0.059778160859496055,7.401,1.784,153.76,59.78,0.37,88.06,11.548,2.273,7.807,49.31,62.51,13965.68,34.29,9.03,35.173361855304805,83.01098021322316,66.09250841797201,24.466666516797837,28.440558192520733,37.8694082054103
2017,辽宁,0,650.77,0.0692550359830435,7.487,1.956,172.34,57.03,0.368,88.67,11.87,2.289,7.904,47.3,62.42,14289.86,32.73,14.38,40.725883955782486,80.85853348797978,70.28894894763657,22.034363815122205,40.43001438714743,43.40690053650328
2018,辽宁,1,691.16,0.06206493845751959,7.531,2.141,160.69,61.23,0.37,93.44,11.878,2.276,7.96,52.16,64.74,14737.91,32.45,10.45,42.81922318024486,89.20961131054732,71.02437071170816,30.305285740075245,37.81663484572788,48.84441384981547
2019,辽宁,1,715.01,0.034507205278083264,7.676,2.066,183.22,61.91,0.353,94.49,12.056,2.378,8.025,49.7,66.88,15437.13,31.4,11.94,45.62547473859268,92.03559652888096,75.99823000165966,29.88623294170979,44.991687810745425,54.169020760536036
2020,辽宁,1,744.69,0.04150990895232254,7.862,2.072,161.62,61.86,0.336,96.8,12.16,2.451,7.979,52.78,66.7,15563.62,31.62,11.06,45.448303453505346,95.21326572030799,77.71601103519646,33.25196759040928,43.781382149202756,56.194997575617805
2021,辽宁,1,746.4,0.0022962575031220123,8.087,2.207,191.78,62.34,0.364,100.0,12.045,2.409,8.206,52.23,63.81,16200.1,30.04,12.38,53.167007223720084,96.51735073626065,80.06336052346902,29.329278013098996,51.86150912161208,61.53550212895117
2022,辽宁,1,797.46,0.0684083601286174,8.293,2.168,194.15,61.99,0.369,100.0,12.321,2.516,8.118,53.86,69.03,16554.69,29.3,13.7,55.05378901541798,95.80212056901203,82.97032006842872,37.15247006475996,56.747596423261534,66.76911432641523
2023,辽宁,1,841.87,0.055689313570586485,8.205,2.282,212.09,63.93,0.338,100.0,13.008,2.567,8.224,54.5,73.6,16979.65,28.01,11.02,57.755844786861566,100.0,90.51475627832637,43.089181695659605,58.21761779003953,73.30308156240352
2013,重庆,0,822.96,0.0,5.821,2.92,185.11,16.62,0.623,83.43,6.622,1.758,7.678,63.5,50.86,9108.5,38.17,10.44,38.84367285252559,16.594703673078044,19.650662503332747,27.672937471759095,2.266298256638796,0.0
2014,重庆,0,858.06,0.042650918635170454,5.819,3.09,196.06,19.72,0.601,87.84,7.117,1.978,7.767,64.21,51.42,9612.78,37.83,11.97,42.601436453857886,25.204755525662453,30.128681810108116,29.132536076766986,6.953471171387848,8.646068479994055
2015,重庆,0,917.84,0.06966878773046181,5.887,3.128,198.34,19.51,0.638,90.07,6.826,1.909,7.881,64.72,52.46,9963.52,37.95,9.92,44.16675217253989,24.310994725098702,28.60305067110612,30.905920916759367,5.345343742974675,8.67263356298516
2016,重庆,0,957.97,0.043722217379935424,5.998,3.159,187.56,17.58,0.626,93.65,7.788,1.959,7.821,67.77,56.37,10212.76,36.19,12.07,44.70708831686093,26.311093167023454,34.78261990254489,38.886074504291734,13.500952801065822,16.094694734551307
2017,重庆,0,984.71,0.027913191436057527,6.169,3.241,180.09,20.94,0.617,93.87,7.324,1.962,7.898,66.59,53.36,10652.9,35.51,12.03,47.03532012401024,30.59871868102307,33.39530368306195,34.09668044775725,16.823461375460315,17.579534638085523
2018,重庆,1,1072.09,0.08873678544952313,6.032,3.391,195.36,17.43,0.578,100.0,7.407,2.093,7.897,69.65,54.46,10942.89,35.15,14.2,49.47708882799886,35.123456768505115,37.33067455814781,38.894235839521386,21.57860628127643,23.936439568176063
2019,重庆,1,1077.06,0.004635804829818513,6.25,3.502,215.63,16.09,0.616,100.0,7.153,1.954,7.995,68.29,56.46,11371.48,34.38,13.77,55.70199294394681,31.045285062018273,33.903563663847955,39.591164997860965,24.592570292307435,25.46970555082665
2020,重庆,1,1137.13,0.05577219467810535,6.115,3.577,237.86,18.87,0.559,100.0,7.503,2.152,8.007,72.77,57.88,11778.14,33.71,11.96,57.74754311069687,37.95446286776675,41.492404719862385,46.39853959992256,25.5158820848136,32.71527624743097
2021,重庆,1,1205.79,0.060380079674267506,6.588,3.632,240.9,18.55,0.587,100.0,7.932,2.129,8.03,72.54,57.64,11882.8,32.85,16.75,64.05227866082271,35.63586120840815,43.97162385525459,45.859109550433594,34.18921289336366,37.63957313138544
2022,重庆,1,1231.63,0.021429933902255005,6.786,3.769,255.08,21.75,0.585,100.0,7.712,2.159,8.216,74.56,58.21,12154.41,31.96,14.7,69.81525712720725,39.069064902341154,46.80574263799635,48.84863108018254,34.86778435020126,42.84085272843636
2023,重庆,1,1301.58,0.05679465423869168,6.857,3.98,251.69,20.38,0.568,100.0,7.388,2.332,8.227,76.32,57.84,12595.54,30.79,15.53,73.47761166210095,38.86796976993878,49.53903842335167,50.46824072596201,40.551583362924724,47.18729893654136
2013,陕西,0,323.08,0.0,4.706,2.281,253.56,44.17,0.371,54.14,8.385,1.361,8.657,59.25,62.98,10954.95,40.36,7.66,24.14736172590954,37.20647238655311,38.120445310589076,36.523402164503395,0.0,7.178919115451429
2014,陕西,0,319.54,-0.010957038504395111,4.814,2.477,295.49,45.26,0.361,54.85,8.576,1.566,8.753,61.2,62.87,11286.82,39.28,10.55,32.78289570853112,39.65926574567905,46.44732186639761,38.658808196795505,7.665495065538051,16.452007264389927
2015,陕西,0,327.6,0.02522375915378361,5.04,2.294,270.49,47.0,0.324,62.34,8.603,1.417,8.912,62.12,65.22,12082.22,38.39,9.42,29.76786957130492,50.631316255726276,45.61955170521723,42.396572669261936,11.459815512288838,20.920106546897944
2016,陕西,0,353.94,0.08040293040293034,5.166,2.507,299.63,48.72,0.382,62.04,8.452,1.68,8.824,64.3,68.31,12107.92,37.73,11.35,37.505373425545024,48.01669871312641,49.9728746737125,48.436107350000775,15.69431842004457,27.440076366478575
2017,陕西,0,372.57,0.052636040006780904,5.167,2.429,284.02,48.41,0.357,66.14,8.574,1.493,9.008,64.38,67.13,12651.83,37.05,10.67,34.6603271033937,53.06159352877927,49.195384369822406,47.18751102635485,18.589212212924522,28.24786455960404
2018,陕西,1,359.37,-0.035429583702391465,5.372,2.636,311.16,50.92,0.369,64.72,9.169,1.589,8.945,64.47,69.78,12879.98,36.19,11.02,42.95113231273677,53.547947306768506,54.25090396407054,50.3041539046027,22.07939213750008,34.9742414574362
2019,陕西,1,398.57,0.10907977850126604,5.402,2.725,331.28,48.16,0.38,68.5,8.927,1.601,8.989,65.72,69.0,13379.24,35.12,11.26,46.78013470668784,53.235186428495936,53.87171860680653,50.866513885167976,26.973969227622618,38.02779548996146
2020,陕西,1,403.12,0.011415811526206188,5.556,2.783,339.54,47.8,0.342,72.43,8.941,1.567,9.048,66.56,70.21,13858.71,34.77,11.59,50.220960952665315,59.00360519518524,54.14811452806991,53.2156784820972,30.06959588660822,43.004611917703244
2021,陕西,1,421.13,0.044676523119666633,5.674,2.83,344.27,48.47,0.357,71.17,9.675,1.557,9.151,68.55,73.18,14098.35,33.28,11.65,52.72739849835183,57.52441389379806,60.32778316443155,58.89855792627411,34.84375961376466,48.305621145627
2022,陕西,1,465.81,0.10609550495096531,5.97,2.995,348.88,49.69,0.337,70.72,9.299,1.791,9.094,70.41,75.43,14286.74,32.84,11.49,58.97158046265746,59.806472669068796,63.092670209668654,63.61230080355431,36.464894432389826,54.160667661434005
2023,陕西,1,454.88,-0.023464502694231615,6.034,3.004,374.38,51.24,0.34,75.12,9.234,1.754,9.205,72.51,76.5,14829.92,31.7,10.13,62.50731380480056,65.03731752957403,63.75395848094795,67.2629198090658,39.6683768021898,59.542377256211005
2013,青海,0,736.54,0.0,6.671,1.339,286.05,62.24,0.705,64.93,10.473,1.342,7.089,47.68,68.03,15644.17,40.2,25.97,34.41089478288449,41.50004428119562,21.816327078034263,28.851874111355215,41.10363227678345,19.311729561648246
2014,青海,0,785.43,0.06637792923670127,6.637,1.389,293.33,59.65,0.718,68.64,10.81,1.52,7.029,49.1,72.87,16243.35,38.83,29.31,35.58355458196337,41.15876828652189,27.479011199964464,35.99967902006115,51.07543684442453,26.431543049678208
2015,青海,0,825.33,0.050800198617318104,7.068,1.408,306.26,59.52,0.677,71.57,10.669,1.465,7.101,50.3,72.25,16658.59,38.21,31.1,41.92572173545849,46.50192188755795,26.481073866804472,36.68595445935846,56.47755129296518,32.32298458084991
2016,青海,0,879.16,0.06522239589012879,7.277,1.42,340.67,59.49,0.683,72.12,11.816,1.389,7.158,49.52,75.99,17360.96,37.7,30.52,48.026095275424254,46.525983091801606,32.64644883831138,40.033118405140215,59.65404621904287,38.273438915723275
2017,青海,0,888.17,0.010248418945356885,7.295,1.512,336.09,63.06,0.706,75.53,11.184,1.529,7.183,51.01,77.25,17414.11,36.63,30.83,49.15356789399999,51.547044440244285,32.85965773400913,43.192600962802985,62.97960805632634,42.41257754299707
